<Trait>	PC1	PC2	PC3
207	-24.61260272	2.929758052	2.378974655
764	19.01517623	35.99961149	-3.534235921
778	-18.75445031	5.755455338	1.626373633
779	-21.25806895	1.568326634	-0.075703399
787	-21.22114006	-8.02247851	2.041586307
790	19.77723042	37.5455684	-3.211485814
792	14.40888008	34.14099124	-1.297498297
793	26.343461	40.85397514	-4.159001978
794	27.63342477	42.8150698	-4.218617699
807	-20.87368399	5.337665874	4.869219547
991	-14.45796695	16.64651691	3.938890296
4226	-25.71476283	-2.722481341	1.680169305
4722	-28.01049541	-0.793563748	-2.837014414
5707	-15.09953578	-19.12766408	-1.835536914
6103	-8.426793982	32.0256389	3.89467021
11430	-24.27496719	-3.252969147	5.993197571
78004	15.9254961	39.6820946	-2.055236403
78010	16.8062231	41.36296889	-3.696416377
2MA22	-26.99434312	-0.938612674	4.539695279
33-16	-23.85302995	-0.979564292	-1.109431878
38-11	-24.41975043	1.659113068	7.534738524
4676A	-16.55117283	15.50632366	-0.025563177
78002A	23.43588599	41.78904767	-4.373400834
78371A	-16.24248123	-14.90567141	7.229065726
A188	-25.58528519	-3.818950151	-1.820976303
A214N	-15.20327431	13.69027633	-4.515143144
A239	-24.57799874	2.693263403	17.96394809
A272	-31.245357	-4.388834441	-10.89999527
A340	-28.22410628	-1.792121188	-2.57761375
A3G	-32.42543062	-3.547933133	-14.2219113
A441-5	-25.84989992	-3.705500042	-6.546592807
A554	-25.01999051	-3.153355529	0.955069515
A556	-21.61889848	-0.523641318	0.353803777
A6	-30.696383	-2.35213745	-18.11904512
A619	-26.93889024	-2.087772417	8.370961207
A632	-11.88572474	30.22322422	3.479580341
A634	-10.87437207	26.55469003	1.054129771
A635	-8.131653112	31.47951543	1.793886442
A641	-18.43113023	19.37533335	-0.345962715
A654	-28.07428493	-2.367258601	-0.178605891
A659	-25.67727588	-0.058792156	18.76964903
A661	-23.99767849	1.318997	-1.306502904
A679	28.77170794	34.69663893	-1.778091289
A680	38.75239547	42.22878634	-3.040134433
A682	3.897127478	-40.53058759	4.211229481
AB28A	-23.12570307	-2.481833033	-2.476262448
AH83	-22.38213336	4.761270115	6.478453292
B10	-13.84144278	17.24091321	3.253789927
B103	-23.47319674	2.679319656	2.091859568
B104	-0.159259758	22.9931824	1.065502347
B105	-12.41081626	6.0591393	3.185068731
B109	30.83156299	32.61191966	-4.81489406
B11	-16.64110577	9.911486508	3.263916648
B115	-23.74725262	-2.429261252	0.905896123
B14A	-4.053192863	40.59428546	3.160892839
B164	-24.14877703	4.220177105	7.39138161
B17	-10.29414259	25.96523098	5.196033848
B2	-23.77163418	0.214620081	3.488983192
B37	-18.56583664	15.55952017	6.21074732
B39	-17.52481675	5.954919051	3.256803689
B40	-12.42924489	8.990993078	2.289201754
B42	-26.43854641	0.497101285	10.84456001
B43	-14.99529597	5.434753252	1.394393981
B44	-14.82740209	9.729274706	0.026595839
B46	-24.45602094	7.851296086	34.13961605
B47	-21.03666014	10.32537531	3.116233701
B52	-18.2902272	-1.632622077	6.081160321
B54	-27.7126814	-0.586170951	7.127831703
B57	-24.8042241	-2.16985807	-0.730748268
B64	-16.32432796	22.90179998	0.328193786
B67	-12.59960717	8.058268299	2.802424963
B68	-12.69206757	28.22052188	0.132473809
B69	-9.085777291	28.59249719	3.430724415
B72	-11.28919488	8.966059025	1.642947856
B73	41.17246464	43.02514522	-3.508783022
B73/B9720/80	8.46894105	18.62239703	5.846620135
B73/B9740/60	14.05782595	21.74474739	3.785833935
B73/B9760/40	14.42294554	22.02318571	3.723161085
B73/B9780/20	16.41214838	23.46692519	3.293508646
B73100/0	42.65733519	44.29689013	-3.653265784
B73HTRHM	41.83182881	43.98952021	-3.690272851
B73XAMES21785	13.77776365	20.55695633	-3.806758732
B73XAMES21786	13.60268019	20.76816426	-4.008953199
B73XAMES21789	13.84320789	20.51980241	-4.08162547
B73XAMES21809	13.93325479	20.61350273	-3.915677616
B73XAMES21812	13.58368512	20.06318915	-4.195225944
B73XAMES21814	12.66289529	19.74187341	-4.211968367
B73XAMES21889	13.07040205	20.0999118	-4.228704154
B73XB97	14.3174848	21.98211529	3.73210315
B73XB97NAMF1	14.31883498	21.93061685	3.788715962
B73XCML103	13.58975725	18.24754435	-6.007424885
B73XCML247	10.28577588	16.87150615	-6.600903228
B73XCML254	12.06285566	17.95910652	-7.773057968
B73XCML277	11.29672765	17.38139643	-6.907165833
B73XCML322	11.26688266	18.3813717	-5.908360521
B73XCML333	12.11008031	18.38557155	-5.810563501
B73XCML52	11.23558159	18.08192221	-7.408826671
B73XCML69	11.86989753	18.32980581	-7.840582304
B73XHP301	13.66100154	18.61224441	-2.485371172
B73XIL14H	13.69572924	18.81791764	0.44973467
B73XKI11	11.49291983	17.71415955	-6.32548481
B73XKI14	10.83285108	16.916855	-6.38428809
B73XKI3	11.48527124	18.12605658	-6.396663313
B73XKY21	14.87384964	20.51577231	-1.736615737
B73XM162WNAMF1	12.43788235	17.24101345	-2.683302418
B73XM37W	12.63039859	18.73844743	-5.02430906
B73XMO17	23.85673942	-2.630432227	0.755403348
B73XMO18W	11.93908578	17.20700621	-5.110476115
B73XMS71	13.33038221	19.5698005	2.141754922
B73XNC350	10.83539888	17.53807087	-7.250539026
B73XNC358	11.63846429	18.06456238	-6.992721487
B73XOH43	13.45599658	19.14515856	3.051487147
B73XOH7B	14.07822009	22.53938939	0.062991038
B73XP39	13.36599563	18.99709888	0.735207861
B73XPI384065	12.94776155	19.57217413	-3.6289348
B73XPI384066	13.53705296	20.18517797	-4.202222001
B73XPI384071	13.55204633	20.45566894	-3.610334044
B73XTX303	12.9961163	17.85861475	-4.298705292
B73XW22R	-12.01042026	1.802290809	0.571252191
B75	-20.52179067	-2.407195973	11.47605786
B76	-19.3363591	10.87167055	2.783943438
B77	-25.15850011	-7.02412061	-2.428178001
B78	-7.544046224	19.73621877	1.913524125
B79	-23.24358371	6.266980238	6.712155017
B84	2.321722714	26.42836431	3.396461044
B89	-9.902018682	7.589529238	4.066805294
B90	-24.95662964	3.130030955	11.24267851
B91	-23.15627628	3.757262376	15.07024858
B94	-11.6423742	7.490474789	0.164562646
B95	-24.39636659	0.56218084	14.51899019
B97	-25.19631848	4.497447519	12.70775016
B97100/0	-25.16751305	4.424855889	12.71765738
