Accession	PC1	PC2	PC3	PC4	PC5
33-16	-0.94224346	-2.4402633	0.5103177	0.16003646	-0.1905617
38-11	0.7900466	-2.4431188	-0.25720382	-2.2211785	0.234432
4226	0.3082353	-3.137141	1.2692555	-1.2854168	1.1809258
4722	-1.2989933	-2.9033973	2.0354862	-0.38049567	-7.6263056
A188	-0.41757387	-2.543884	0.34365684	-0.8576448	-1.4464402
A214N	6.8093204	0.36807653	-10.691049	0.8308725	-0.64821535
A239	0.30208126	-2.949059	0.29873732	-2.567211	0.9404871
A272	-2.069152	1.3291783	1.0852911	-0.4762748	-2.2018785
A441-5	-2.710299	-0.032250263	0.6185255	-1.083046	-0.39426726
A554	0.39277434	-2.7406623	0.6649343	-2.9034317	1.6717001
A556	-0.3280548	-3.289705	0.9620543	-1.1843077	1.6747772
A6	-5.0676794	5.171622	0.3065479	0.34151992	0.11831584
A619	0.009218451	-7.7313414	2.8344762	-2.9029915	3.2474701
A632	9.809113	-0.1777453	-13.612973	1.6067115	-1.5840354
A634	8.970635	0.044943	-12.517379	1.5955331	-0.47758433
A635	9.237819	-0.4814903	-12.6699295	1.0295726	-0.19363384
A641	5.60704	-1.9993191	-8.652626	0.9996876	-0.27303025
A654	0.09784889	-2.943431	-0.19831164	-3.9647973	2.5436287
A659	0.62477374	-2.5541627	0.84534156	-1.6713948	0.5883822
A661	-0.1086084	-2.3727205	1.2524658	-1.2397207	-1.0875677
A679	15.125461	6.442862	5.9845643	1.8459114	-0.46633923
A680	18.009483	7.980582	6.1294346	1.882541	-0.022725835
A682	-0.47609493	-4.2210207	0.19991302	5.0170937	2.220774
AB28A	-0.47751185	-1.2788036	0.7112538	-0.6252825	1.2021954
B10	7.655677	-0.8043015	-3.4660726	-2.2635822	1.950206
B103	1.5364206	-2.5763197	-1.3521965	0.47104752	0.848874
B104	10.725781	2.2698357	0.686525	0.0585791	0.4736487
B105	4.251363	-0.2728631	0.5258005	-1.973474	-0.10600695
B109	15.06468	6.5608234	4.556178	0.8340754	0.16721012
B115	-0.37101325	-2.5217211	0.13541652	-0.5223537	-0.47471204
B14A	12.593369	0.34002435	-14.715046	1.6997145	-0.95675564
B164	1.159502	-1.6760395	0.5112785	-1.2167284	1.1888361
B2	2.0402973	-2.0089746	-0.7954131	-1.8472781	1.7621607
B37	7.29311	-0.20141208	2.8565369	-2.803509	0.67361856
B46	3.6029994	-3.49202	-1.5968423	-3.60871	2.2928097
B52	0.93351465	-2.4747312	0.1726369	-3.0054724	1.6919483
B57	-0.24034448	-1.5638788	0.94782645	-2.1349308	-0.054660056
B64	7.462367	0.37187672	-12.361064	1.5991952	-1.211806
B68	9.753959	-0.10048021	-13.700258	1.3667486	-0.9193522
B73	19.403395	8.805546	6.5117035	1.8695923	0.09652199
B73HTRHM	18.927515	8.5166235	6.2491784	1.7278353	-0.023030706
B75	0.62457347	-3.0873792	0.5447261	-0.23342347	1.3196287
B76	6.4776835	-0.31315768	2.9085765	-2.7926447	0.80458915
B77	-0.85450596	-1.6683538	-0.7816504	0.16029657	-0.93493944
B79	3.239724	-2.1255455	-1.9367256	-1.7493606	1.1455061
B84	10.930953	2.2388432	0.2839354	0.46944696	-0.23190005
B97	1.3263947	-3.7506032	-0.70042545	-1.2504301	0.26858997
C103	-2.0787408	-5.8598056	1.9726828	11.770565	1.4747831
C123	-1.234157	-4.9186974	1.3460939	8.719286	0.5662218
C49A	-0.3653485	-2.252298	-0.38033926	-1.2101196	-0.31888932
CH701-30	1.3004861	-2.5244215	-0.08788869	-0.5520352	0.011623547
CH9	-0.7386289	-1.9698422	0.17560147	-4.2295794	3.389417
CI7	-0.0411164	-2.604782	0.9044145	0.06823491	-0.004720608
CI187-2	-2.2425983	-1.104501	0.67763305	-1.7792	1.823057
CI21E	2.9517775	-0.20877208	0.025876127	-1.1665353	0.036101192
CI28A	0.4099189	-0.8884998	-0.40905663	-1.1222204	1.7100743
CI31A	-0.3106978	-2.0297666	1.3443145	-0.8321573	-0.10446922
CI3A	-0.12680992	-1.9452672	-1.4901081	-0.64023453	-1.071056
CI64	-1.6736785	-1.2593131	0.3226355	-1.135527	-0.9350956
CI66	-1.6811738	-0.84425545	0.439413	-0.6409261	-1.1325885
CI90C	-1.0436785	-2.2694209	2.0188062	-1.2171727	1.8702823
CI91B	2.1616242	-1.3640729	0.35948828	-0.59330106	1.5058802
CM105	9.604285	-0.42102346	-10.182407	0.5363097	-0.60546476
CM174	6.7869816	-1.3370206	-10.879804	0.48089525	-1.0284464
CM37	0.8916692	-4.261236	-0.7132729	-1.2852403	-3.718627
CM7	-0.029417261	-3.437116	0.21698771	-0.21935806	-0.45237166
CML10	-4.724729	3.993445	0.22903559	-0.8004141	0.59796214
CML103	-4.133589	3.1007545	0.00832741	0.16183117	-0.39602062
CML108	-4.1279025	4.1517496	-0.57390875	0.20596857	0.32733598
CML11	-5.185016	4.7871733	0.18935914	-0.45581028	1.0510427
CML14	-4.5259356	4.3851523	-0.43628928	-0.18968832	-0.39094704
CML154Q	-4.125769	3.8941944	-0.6377627	0.036113515	-0.07738167
CML157Q	-4.791659	3.6100893	-1.150028	-0.71960884	0.04211888
CML158Q	-4.7183185	4.0006895	-0.10759352	-0.16833647	-0.27184764
CML218	-4.880245	3.622709	-0.509704	0.34254643	0.20415808
CML220	-3.6918657	3.7124708	-0.85922647	-0.80761296	-0.44999617
CML228	-5.3621573	3.9961092	0.5605904	-0.57627124	-1.7687956E-4
CML238	-4.281448	4.8823295	0.110627644	-0.1781828	-0.188571
CML247	-4.208492	3.3117962	0.0352024	0.067227416	-0.19181956
CML254	-5.6541677	4.6115847	-0.755402	0.6407595	0.06598177
CML258	-5.370978	4.4844418	0.35710517	-0.8699173	0.039613612
CML261	-4.8516493	4.1644335	-0.4388045	-0.31022274	1.016497
CML264	-4.5747414	4.3200493	-1.6605843	0.22379933	-0.0647429
CML277	-4.717473	4.428581	-0.8898199	-2.1973453	-0.28378674
CML281	-3.0948937	2.5641553	-1.2619526	0.16828571	-0.107297376
CML287	-3.3208113	4.103359	-1.5206627	-1.6932172	-0.83752865
CML311	-4.478697	3.6952138	-1.1669765	-0.6127421	-0.8679946
CML314	-4.896941	4.612866	-2.1151116	0.25246167	0.14763413
CML321	-5.249097	4.345159	0.27241844	-0.1845904	0.042810965
CML322	-4.54789	4.503912	-1.7536019	-1.4233927	0.084296614
CML323	-2.5756857	1.8912812	0.57339454	0.7829582	-1.7776513
CML328	-3.881422	1.8578863	-0.5854368	-0.6083041	-0.5397466
CML331	-4.79524	5.2954755	-1.7357111	-0.9723822	-0.59326476
CML332	-4.928377	4.9397383	-1.2144421	-0.7768147	-0.80767465
CML333	-3.4385352	3.076892	-0.7561034	0.18667065	-0.14988881
CML341	-5.2976227	4.371362	0.24293311	-0.63384384	-0.5477795
CML38	-4.809138	3.6140945	-1.4400743	-0.7459177	0.7241698
CML45	-4.999405	3.8331056	-0.62419116	-0.5111373	-0.8280944
CML5	-5.0659866	3.9714866	-1.3557107	-0.75210226	0.82373095
CML52	-4.617227	4.1897917	0.5997168	-0.62872696	0.45858
