<Trait>	GerminationCount	DaystoSilk	DaysToTassel	GDDDaystoSilk	GDDDaystoTassel	GDDAnthesis-SilkingInterval	TasselLength	MainSpikeLength	TasselPrimaryBranches	TasselBranchLength	SecondaryBranchNumber	PlantHeight	EarHeight	LeafLength	LeafWidth	UpperLeafAngle	MiddleLeafAngle	TilleringIndex	NIRStarch	NIRProtein	NIROil	NorthernLeafBlight	CobDiameter	CobWeight	EarDiameter	EarLength	SeedSetLength	EarRowNumber	TotalKernelVolume	EarWeight	EarRankNumber	20KernelWeight	RowQuality
33-16	3	104	103	964.80278	964.80278	0	309	258	7	NaN	NaN	NaN	NaN	696	81	60	85	0	65.34	13.23	3.83	2	NaN	NaN	31	99	85	NaN	NaN	NaN	NaN	NaN	4
38-11	6	NaN	NaN	NaN	NaN	NaN	368	260	12	226	3	135	60	867	89	60	50	0	NaN	NaN	NaN	3	20	11.6	27	120	NaN	12	30	26	NaN	NaN	3
4226	1	NaN	95	NaN	924.110555	NaN	345	278	9	200	0	130	65	684	80	45	40	0	NaN	NaN	NaN	3	NaN	NaN	40	126	114	NaN	NaN	NaN	NaN	NaN	3
4722	6	92	89	896.413335	860.19222	36.22111	364	233	12	266	4	140	75	787	93	60	57.5	NaN	64.34	12.99	4.38	3	26	21.5	30	174	112	12	NaN	53	22	3.5	1
A188	5	73	73	633.413335	633.413335	0	346	245	15	188	0	120	35	633	76	45	60	NaN	64.87	15.51	5.39	2	22	13.6	36	132	126	12	90	73	22	6.2	2
A214N	4	108	108	964.80278	964.80278	0	297	218	10	216	1	190	110	767	69	90	70	NaN	NaN	NaN	NaN	3	28	14.9	35	149	133	12	40	40	24	3.3	1
A239	8	93	90	904.77389	870.55278	34.22111	350	283	4	230	0	90	15	660	70	60	70	NaN	70.26	14.32	3.6	4	24	6.15	34	114	90	12	60	47	19	NaN	3
A272	2	NaN	NaN	NaN	NaN	NaN	290	220	6	188	0	135	30	623	67	50	35	NaN	NaN	NaN	NaN	4	21	8.3	32	114	113	12	60	NaN	30	4.4	2
A441-5	7	102	100	964.80278	964.80278	0	217	178	9	130	0	80	30	631	91	40	65	0	NaN	NaN	NaN	3	NaN	NaN	28	69	NaN	NaN	NaN	10	NaN	NaN	1
A554	7	84	83	778.55278	765	13.55278	248	196	5.5	148	0	95	20	780	58	35	67.5	0	58.7	15.38	3.46	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
A556	0	NaN	NaN	NaN	NaN	NaN	277	227	8	164	0	60	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4
A6	1	124	120	964.80278	964.80278	0	331	188	20	198	6	162.5	97.5	NaN	NaN	85	80	0	NaN	NaN	NaN	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
A619	6	NaN	91	NaN	881.610555	NaN	249	187.5	5	158	0	100	NaN	457	74	50	NaN	0	NaN	NaN	NaN	5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
A632	10	90	89	870.55278	860.19222	10.360555	304.5	252	5.5	216	0	125	55	628	59	NaN	57.5	0	70.28	11.09	4.46	5	22	11.1	34	118	102	12	50	45	16	4.9	1
A634	7	93	90	904.77389	870.55278	34.22111	259	210	3	190	0	100	30	577	53	NaN	70	0	71.66	11.57	4.01	4	22	5.7	35	81	70	NaN	30	NaN	NaN	4	2
A635	9	87	84	832.163335	778.55278	53.610555	305.5	231.5	10.5	178	1	110	45	691	62	NaN	57.5	NaN	70.18	13.98	3.61	5	24.5	NaN	38.5	NaN	68.5	14	45	38	12	5.65	1
A641	8	90	87	870.55278	832.163335	38.384445	246.5	228	2.5	128	0	100	40	574	70	50	47.5	NaN	70.77	13.53	3.65	4	26	11.9	36	127	74	15	50	48	13	5.1	2
