Individual	Population	Reintroduction_History	Reintroduction_Genealogy
GR0001_al	Albris	Primary introduction	Primary_Albris
GR0002_al	Albris	Primary introduction	Primary_Albris
GR0003_al	Albris	Primary introduction	Primary_Albris
GR0004_al	Albris	Primary introduction	Primary_Albris
GR0005_al	Albris	Primary introduction	Primary_Albris
GR0006_al	Albris	Primary introduction	Primary_Albris
GR0007_al	Albris	Primary introduction	Primary_Albris
GR0008_al	Albris	Primary introduction	Primary_Albris
GR0009_al	Albris	Primary introduction	Primary_Albris
GR0010_al	Albris	Primary introduction	Primary_Albris
GR0011_al	Albris	Primary introduction	Primary_Albris
GR0113_al	Albris	Primary introduction	Primary_Albris
GR0201_al	Albris	Primary introduction	Primary_Albris
GR0204_al	Albris	Primary introduction	Primary_Albris
GR0379_al	Albris	Primary introduction	Primary_Albris
VS0013_ab	Aletsch Bietschhorn	Secondary introduction	Admixture
VS0016_ab	Aletsch Bietschhorn	Secondary introduction	Admixture
VS0017_ab	Aletsch Bietschhorn	Secondary introduction	Admixture
VS0043_ab	Aletsch Bietschhorn	Secondary introduction	Admixture
VS0087_ab	Aletsch Bietschhorn	Secondary introduction	Admixture
VS0090_ab	Aletsch Bietschhorn	Secondary introduction	Admixture
VS0440_ab	Aletsch Bietschhorn	Secondary introduction	Admixture
VS0464_ab	Aletsch Bietschhorn	Secondary introduction	Admixture
VS0465_ab	Aletsch Bietschhorn	Secondary introduction	Admixture
VS0466_ab	Aletsch Bietschhorn	Secondary introduction	Admixture
VS0469_ab	Aletsch Bietschhorn	Secondary introduction	Admixture
VS0471_ab	Aletsch Bietschhorn	Secondary introduction	Admixture
VS0473_ab	Aletsch Bietschhorn	Secondary introduction	Admixture
BE0002_br	Brienzer Rothorn	Primary introduction	Primary_BrienzerRothorn
BE0007_br	Brienzer Rothorn	Primary introduction	Primary_BrienzerRothorn
BE0272_br	Brienzer Rothorn	Primary introduction	Primary_BrienzerRothorn
BE0273_br	Brienzer Rothorn	Primary introduction	Primary_BrienzerRothorn
BE0274_br	Brienzer Rothorn	Primary introduction	Primary_BrienzerRothorn
BE0279_br	Brienzer Rothorn	Primary introduction	Primary_BrienzerRothorn
BE0281_br	Brienzer Rothorn	Primary introduction	Primary_BrienzerRothorn
BE0282_br	Brienzer Rothorn	Primary introduction	Primary_BrienzerRothorn
BE0430_br	Brienzer Rothorn	Primary introduction	Primary_BrienzerRothorn
BE0433_br	Brienzer Rothorn	Primary introduction	Primary_BrienzerRothorn
BE0435_br	Brienzer Rothorn	Primary introduction	Primary_BrienzerRothorn
BE0436_br	Brienzer Rothorn	Primary introduction	Primary_BrienzerRothorn
OW0003_br	Brienzer Rothorn	Primary introduction	Primary_BrienzerRothorn
